name,country,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
Umar Akmal,PAK,2009-2019,84,79,14,1690,94,26.00,1377,122.73,0,8,10,122,55
S Ssesazi,UGA,2021-2023,63,61,7,1684,100*,31.18,1369,123.00,1,13,7,180,55
HG Munsey,SCOT,2015-2023,62,60,4,1676,132,29.92,1172,143.00,2,9,5,203,65
AB de Villiers,SA,2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
Litton Das,BAN,2015-2023,73,72,1,1670,83,23.52,1276,130.87,0,10,4,173,50
H Masakadza,ZIM,2006-2019,66,66,2,1662,93*,25.96,1418,117.20,0,11,1,151,65
N Pooran,WI,2016-2023,80,72,8,1662,74*,25.96,1259,132.00,0,10,2,117,98
MDKJ Perera,SL,2013-2023,63,62,2,1660,84,27.66,1270,130.70,0,13,1,152,55
RR Hendricks,SA,2014-2023,54,53,1,1645,83,31.63,1260,130.55,0,14,2,189,32
MS Dhoni,IND,2006-2019,98,85,42,1617,56,37.60,1282,126.13,0,2,1,116,52
MN Samuels,WI,2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69
SK Raina,IND,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
MP O'Dowd,NED,2015-2022,58,57,4,1589,133*,29.98,1301,122.13,1,11,0,166,37
KA Pollard,WI,2008-2022,101,83,21,1569,75*,25.30,1161,135.14,0,6,3,94,99
GD Phillips,NZ,2017-2023,63,56,8,1559,108,32.47,1071,145.56,2,9,2,109,78
F du Plessis,SA/World,2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50
LMP Simmons,WI,2007-2021,68,67,10,1527,91*,26.78,1264,120.80,0,9,6,140,68
JJ Roy,ENG,2014-2022,64,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69
JM Bairstow,ENG,2011-2023,70,64,13,1512,90,29.64,1099,137.57,0,10,5,135,67
Mushfiqur Rahim,BAN,2006-2022,102,93,16,1500,72*,19.48,1304,115.03,0,6,8,126,37
Syed Aziz,MAL,2019-2023,63,61,12,1498,87,30.57,1034,144.87,0,12,5,144,70
KJ Coetzer,SCOT,2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48
DPMD Jayawardene,SL,2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
SC Williams,ZIM,2006-2023,68,68,7,1482,66,24.29,1182,125.38,0,10,4,140,36
Ahmed Shehzad,PAK,2009-2019,59,59,2,1471,111*,25.80,1282,114.74,1,7,2,157,33
E Lewis,WI,2016-2022,53,52,3,1465,125*,29.89,964,151.97,2,10,4,108,111
SR Watson,AUS,2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
TP Ura,PNG,2015-2023,49,48,7,1447,107*,35.29,920,157.28,1,12,4,106,87
Fakhar Zaman,PAK,2017-2023,76,69,3,1433,91,21.71,1118,128.17,0,8,6,143,48
Shahid Afridi,ICC/PAK,2006-2018,99,91,12,1416,54*,17.92,944,150.00,0,4,8,103,73
CO Obuya,KENYA,2007-2023,59,55,11,1395,96*,31.70,1196,116.63,0,6,3,103,59
Asghar Afghan,AFG,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69
KC Sangakkara,SL,2006-2014,56,53,9,1382,78,31.40,1156,119.55,0,8,2,139,20
MD Shanaka,SL,2015-2023,88,83,18,1351,74*,20.78,1109,121.82,0,5,10,96,68
HH Pandya,IND,2016-2023,92,71,18,1348,71*,25.43,964,139.83,0,3,3,96,69
MS Chapman,HKG/NZ,2014-2023,59,53,10,1329,104*,30.90,1001,132.76,1,7,3,113,49
Muhammad Waseem,UAE,2021-2023,32,32,2,1321,112,44.03,875,150.97,2,11,2,96,88
HM Amla,SA/World,2009-2018,44,44,6,1277,97*,33.60,967,132.05,0,8,2,146,26
MR Marsh,AUS,2011-2023,49,47,9,1272,92*,33.47,955,133.19,0,8,2,110,53
II Selemani,TAN,2021-2023,51,50,4,1271,81,27.63,792,160.47,0,7,5,144,73
BKG Mendis,SL,2016-2023,55,55,2,1270,79,23.96,950,133.68,0,12,5,100,60
GC Wilson,IRE,2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20
Sikandar Raza,ZIM,2013-2022,66,63,3,1259,87,20.98,977,128.86,0,6,6,99,47
DJ Bravo,WI,2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55
Ahmed Faiz,MAL,2019-2023,56,49,6,1253,105*,29.13,996,125.80,1,5,3,100,49
DP Conway,NZ,2020-2023,41,38,8,1248,99*,41.60,967,129.05,0,9,0,119,32
BN Cooper,NED,2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38
CS MacLeod,SCOT,2009-2022,64,61,9,1238,74,23.80,1115,111.03,0,7,8,107,23
CR Ervine,ZIM,2010-2023,59,58,3,1232,68*,22.40,1162,106.02,0,7,1,125,26
Soumya Sarkar,BAN,2015-2022,72,72,3,1212,68,17.56,990,122.42,0,5,11,119,46
NLTC Perera,ICC/SL/World,2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64
R Satheesan,ROM,2019-2023,38,36,5,1197,99*,38.61,770,155.45,0,9,2,121,61
Yuvraj Singh,IND,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
KP Pietersen,ENG,2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
S Davizi,CZK-R,2019-2023,31,31,3,1149,115*,41.03,827,138.93,3,6,1,124,40
AD Mathews,SL,2009-2021,78,63,18,1148,81*,25.51,975,117.74,0,5,1,73,38
Nizakat Khan,HKG,2014-2023,61,59,0,1135,81,19.23,954,118.97,0,5,6,104,31
RR Patel,KENYA,2008-2023,61,51,13,1135,73*,29.86,824,137.74,0,6,2,81,66
A Vala,PNG,2015-2023,53,51,9,1120,93*,26.66,932,120.17,0,7,0,103,34
TL Seifert,NZ,2018-2023,50,47,6,1110,88,27.07,811,136.86,0,8,3,93,52
MM Ali,ENG,2014-2023,78,67,16,1109,72*,21.74,771,143.83,0,7,9,84,60
R Sandaruwan,KUW,2019-2023,36,36,2,1106,103,32.52,751,147.27,1,6,5,99,61
DS Airee,NEP,2018-2022,44,39,8,1103,110*,35.58,834,132.25,1,5,0,88,34
P Nissanka,SL,2021-2023,42,41,1,1098,75,27.45,979,112.15,0,9,4,102,24
VP Thamotharam,MLT,2020-2023,51,49,7,1097,104*,26.11,749,146.46,1,6,2,81,64
R Powell,WI,2017-2023,63,53,10,1082,107,25.16,775,139.61,1,4,2,61,70
WTS Porterfield,IRE,2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23
Jatinder Singh,OMA,2015-2023,50,50,7,1078,73*,25.06,924,116.66,0,5,3,108,21
Riazat Ali Shah,UGA,2019-2023,48,43,13,1075,98*,35.83,832,129.20,0,4,3,77,50
HE van der Dussen,SA,2018-2023,43,39,8,1071,94*,34.54,829,129.19,0,7,1,68,48
DJ Mitchell,NZ,2019-2023,56,53,10,1069,72*,24.86,779,137.22,0,5,2,70,41
AK Markram,SA,2019-2023,37,33,6,1063,70,39.37,711,149.50,0,9,1,91,44
LD Chandimal,SL,2010-2022,68,61,7,1062,66*,19.66,1025,103.60,0,6,0,90,22
HT Tector,IRE,2019-2023,64,58,10,1045,64*,21.77,866,120.66,0,3,2,77,27
Afif Hossain,BAN,2018-2023,63,58,9,1044,77*,21.30,868,120.27,0,3,6,74,35
SS Iyer,IND,2017-2022,49,45,11,1043,74*,30.67,767,135.98,0,7,4,85,42
Rahmanullah Gurbaz,AFG,2019-2023,43,43,0,1043,87,24.25,775,134.58,0,5,4,82,61
AR Patwa,TAN,2021-2023,41,41,4,1039,79,28.08,812,127.95,0,5,3,122,36
MH Cross,SCOT,2013-2023,65,54,8,1038,66*,22.56,898,115.59,0,5,5,105,25
MS Wade,AUS,2011-2022,75,57,16,1018,80,24.82,771,132.03,0,3,1,81,38
Samiullah Shinwari,AFG,2010-2022,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37
LJ Tucker,IRE,2016-2023,59,55,8,1013,94*,21.55,820,123.53,0,6,6,93,25
SPD Smith,AUS,2010-2022,63,51,11,1008,90,25.20,805,125.21,0,4,1,85,24
Hazratullah Zazai,AFG,2016-2023,38,38,3,1007,162*,28.77,756,133.20,1,3,3,97,57
Rohan Mustafa,UAE,2014-2023,58,53,5,1006,77,20.95,827,121.64,0,4,7,108,27
Razmal Shigiwal,Aut,2019-2023,39,35,5,990,95*,33.00,725,136.55,0,6,2,81,39
J Charles,WI,2011-2023,44,43,0,988,118,22.97,765,129.15,1,4,5,104,45
Kamran Akmal,PAK,2006-2017,58,53,6,987,73,21.00,825,119.63,0,5,7,100,31
RR Pant,IND,2017-2022,66,56,12,987,65*,22.43,781,126.37,0,3,3,86,37
CL White,AUS,2007-2014,47,44,14,984,85*,32.80,740,132.97,0,5,3,71,44
GC Smith,SA,2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
MG Erasmus,NAM,2019-2022,41,39,9,979,100*,32.63,765,127.97,1,7,2,75,36
BA King,WI,2019-2023,40,38,3,977,85*,27.91,754,129.57,0,7,3,106,37
Sabbir Rahman,BAN,2014-2022,48,47,5,977,80,23.26,819,119.29,0,4,3,92,29
Shaiman Anwar,UAE,2014-2019,32,32,3,971,117*,33.48,770,126.10,1,6,1,75,43
Babar Hayat,HKG,2014-2023,42,42,6,968,122,26.88,782,123.78,1,5,4,68,47
Zeeshan Maqsood,OMA,2015-2022,48,39,7,960,102*,30.00,796,120.60,1,4,3,101,33
Muhammad Tanveer,QAT,2019-2023,37,33,9,954,88*,39.75,712,133.98,0,7,1,66,56
O Tuyisenge,RWN,2021-2023,52,52,3,954,100*,19.46,851,112.10,1,2,8,108,21
ADS Fletcher,WI,2008-2021,54,52,7,950,84*,21.11,853,111.37,0,6,7,66,51
BRM Taylor,ZIM,2006-2021,45,45,6,934,75*,23.94,790,118.22,0,6,5,93,24
G Gambhir,IND,2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
W Madhevere,ZIM,2020-2023,47,47,4,920,73*,21.39,762,120.73,0,7,5,109,11
SJ Myburgh,NED,2012-2022,45,44,2,915,71*,21.78,799,114.51,0,5,8,100,28
GH Dockrell,IRE,2010-2023,125,77,29,900,58*,18.75,685,131.38,0,1,8,62,33
JW Jenner,JER,2019-2023,39,39,8,900,96*,29.03,723,124.48,0,5,2,70,32
SO Hetmyer,WI,2018-2023,55,46,4,899,81*,21.40,754,119.23,0,5,3,59,46
E Chigumbura,ZIM,2006-2020,57,56,9,893,54*,19.00,635,140.62,0,3,6,61,53
JE Root,ENG,2012-2019,32,30,5,893,90*,35.72,707,126.30,0,5,2,92,16
Muhammad Usman,UAE,2016-2022,47,43,6,891,89*,24.08,778,114.52,0,3,3,73,27
IA Karim,KENYA,2013-2022,44,40,11,888,71*,30.62,876,101.36,0,6,2,83,13
G Malla,NEP,2014-2022,45,39,1,883,107,23.23,734,120.29,1,2,1,76,36
RP Burl,ZIM,2018-2023,58,53,19,882,57*,25.94,749,117.75,0,2,1,56,38
Zubaidi Zulkifle,MAL,2019-2023,40,39,2,878,96,23.72,559,157.06,0,3,5,88,47
K Motlhanka,BOT,2019-2023,34,33,4,868,75*,29.93,763,113.76,0,6,1,95,18
AP Rajeevan,TAN,2022-2023,39,36,6,861,70,28.70,731,117.78,0,6,0,85,16
E Dusingizimana,RWN,2021-2023,44,44,2,854,66*,20.33,742,115.09,0,3,4,92,31
GJ Delany,IRE,2019-2023,61,53,9,853,89*,19.38,652,130.82,0,3,3,70,33
MP Stoinis,AUS,2015-2023,54,44,16,846,78,30.21,575,147.13,0,2,2,71,39
CJA Amini,PNG,2015-2023,50,43,8,837,62,23.91,726,115.28,0,4,5,62,23
Sarfaraz Ali,BHR,2019-2023,37,37,3,834,69*,24.52,537,155.30,0,5,2,67,67
H Lakov,BUL,2019-2022,35,34,8,825,80,31.73,784,105.22,0,6,0,67,6
BA Pai,GIBR,2019-2023,27,27,6,825,107*,39.28,691,119.39,1,5,1,74,13
JDS Neesham,NZ,2012-2023,69,56,18,824,48*,21.68,521,158.15,0,0,6,63,45
KIC Asalanka,SL,2021-2023,37,37,4,823,80*,24.93,670,122.83,0,4,4,61,34
L Bruce,GIBR,2021-2023,28,28,3,821,99*,32.84,705,116.45,0,10,3,79,12
Sarfaraz Ahmed,PAK,2010-2021,61,42,12,818,89*,27.26,653,125.26,0,3,2,79,15
Chirag Suri,UAE,2018-2022,31,31,3,817,88,29.17,708,115.39,0,7,2,84,18
Mohammad Naim,BAN,2019-2022,35,35,1,815,81,23.97,788,103.42,0,4,2,76,17
Taranjeet Singh,ROM,2021-2023,24,24,2,815,110,37.04,476,171.21,1,5,1,95,42
Iftikhar Ahmed,PAK,2016-2023,49,41,12,814,62*,28.06,614,132.57,0,4,2,54,36
F Damiao Couana,MOZ,2019-2023,30,29,3,806,104,31.00,644,125.15,1,4,1,81,30
TH David,AUS/SGP,2019-2023,28,25,3,805,92*,36.59,494,162.95,0,6,2,71,40
CG Williams,NAM,2019-2022,35,33,4,805,81,27.75,713,112.90,0,6,3,69,23
W Barresi,NED,2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21
P Khadka,NEP,2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26
RG Mukasa,UGA,2019-2023,40,38,2,797,89,22.13,619,128.75,0,3,4,98,27
AA Obanda,KENYA,2007-2023,51,47,4,797,103*,18.53,670,118.95,1,1,6,100,25
IA De Silva,BUL,2020-2022,35,34,2,795,100*,24.84,690,115.21,1,4,3,72,37
Misbah-ul-Haq,PAK,2007-2012,39,34,13,788,87*,37.52,715,110.20,0,3,2,45,26
Usman Ghani,AFG,2015-2023,35,34,3,786,73,25.35,733,107.23,0,4,0,76,21
N Nipiko,VAN,2019-2023,28,28,6,784,100,35.63,623,125.84,1,5,1,63,36
V Aravind,UAE,2020-2023,37,32,3,783,97*,27.00,666,117.56,0,4,2,77,19
B Arora,MLT,2019-2023,48,44,6,783,66*,20.60,865,90.52,0,3,2,72,19
RR Rossouw,SA,2014-2023,29,27,5,767,109,34.86,480,159.79,2,3,5,69,39
LJ Wright,ENG,2007-2014,51,45,5,759,99*,18.97,554,137.00,0,4,9,68,31
Kamran Khan,QAT,2019-2022,32,30,1,758,88,26.13,559,135.59,0,5,1,63,47
S Chandramohan,SGP,2019-2022,33,33,1,756,100,23.62,639,118.30,1,3,4,69,34
DJ Hussey,AUS,2008-2012,39,36,3,756,88*,22.90,623,121.34,0,3,4,41,34
NS Dhaliwal,CAN,2019-2022,23,22,5,748,69*,44.00,556,134.53,0,6,0,56,36
S Wickramasekara,CZK-R,2019-2023,34,33,6,748,104*,27.70,499,149.89,1,6,3,55,46
HAM Shah,DEN,2019-2023,26,25,1,745,99,31.04,652,114.26,0,6,2,67,18
MD Gunathilaka,SL,2016-2022,46,45,0,741,57,16.46,615,120.48,0,3,4,78,21
AD Russell,WI,2011-2021,67,57,19,741,51,19.50,475,156.00,0,1,9,42,62
FH Allen,NZ,2021-2023,32,32,0,739,101,23.09,464,159.26,1,3,2,69,45
DM de Silva,SL,2015-2023,39,38,3,731,66*,20.88,621,117.71,0,3,2,61,16
Zeeshan Khan,MLT,2020-2023,34,33,1,726,115,22.68,599,121.20,1,2,3,85,17
Sami Sohail,MWI,2019-2023,26,22,12,725,94*,72.50,605,119.83,0,5,1,61,13
Faheem Nazir,SUI,2022-2023,14,14,3,724,113,65.81,473,153.06,2,6,0,77,25
MEK Hussey,AUS,2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25
TC Barker,LUX,2019-2023,34,34,1,719,78,21.78,588,122.27,0,3,5,69,16
SJ Baard,NAM,2019-2022,28,28,3,714,92,28.56,632,112.97,0,5,1,61,18
RS Bopara,ENG,2008-2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17
H Klaasen,SA,2018-2023,41,37,7,710,81,23.66,479,148.22,0,4,1,58,32
MK Pandey,IND,2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19
Aqib Ilyas,OMA,2015-2023,30,30,5,706,90,28.24,569,124.07,0,5,2,78,19
KD Shah,HKG,2014-2023,49,45,8,706,79,19.08,660,106.96,0,3,7,55,17
CK Kapugedera,SL,2006-2017,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25
S Bau,PNG,2016-2023,44,36,5,696,59,22.45,642,108.41,0,1,4,43,25
Manpreet Singh,SGP,2019-2022,31,30,3,689,71,25.51,546,126.19,0,3,1,42,24
Saber Zakhil,Belg,2019-2023,27,25,4,687,100*,32.71,404,170.04,1,2,2,35,57
Ishan Kishan,IND,2021-2023,29,29,1,686,89,24.50,564,121.63,0,4,0,74,27
KD Karthik,ICC/IND,2006-2022,60,48,22,686,55,26.38,481,142.61,0,1,3,71,28
RW Chakabva,ZIM,2008-2022,49,49,2,682,48,14.51,557,122.44,0,0,11,59,27
PBB Rajapaksa,SL,2019-2023,37,33,5,678,77,24.21,507,133.72,0,3,3,57,30
DM Nakrani,UGA,2019-2023,43,37,14,674,77*,29.30,530,127.16,0,2,1,44,44
N Vanua,PNG,2015-2023,51,42,10,674,71,21.06,470,143.40,0,3,7,31,46
K Nassoro,TAN,2021-2023,49,42,11,673,60,21.70,642,104.82,0,2,3,65,12
L Siaka,PNG,2015-2023,51,45,4,671,45,16.36,598,112.20,0,0,7,49,21
T Bavuma,SA,2019-2023,36,35,4,670,72,21.61,567,118.16,0,1,6,62,16
DMW Rawlins,BMUDA,2019-2023,23,22,4,670,91,37.22,441,151.92,0,5,1,50,43
KC D'Souza,BUL,2020-2022,36,33,9,669,92*,27.87,432,154.86,0,2,3,43,44
CJ Chibhabha,ZIM,2006-2020,36,35,0,667,67,19.05,609,109.52,0,5,4,78,13
JH Kallis,SA,2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
V Saini,ROM,2020-2023,33,29,9,663,91*,33.15,511,129.74,0,3,2,50,21
TLW Cooper,NED,2012-2022,33,32,4,659,81*,23.53,509,129.46,0,3,3,62,22
LA Dunbar,SRB,2019-2023,21,20,6,659,117,47.07,435,151.49,2,3,3,51,49
V Vijh,LUX,2019-2023,35,35,6,658,64*,22.68,633,103.94,0,2,3,45,20
C Campher,IRE,2021-2023,41,34,7,657,72*,24.33,508,129.33,0,3,2,52,20
A Ashokan,CZK-R,2019-2023,31,30,6,655,55*,27.29,580,112.93,0,3,0,31,26
RB Patel,UGA,2021-2023,32,29,7,652,68*,29.63,598,109.03,0,3,3,73,8
Meet Bhavsar,KUW,2019-2023,30,28,3,642,76*,25.68,498,128.91,0,4,3,54,23
DJM Short,AUS,2018-2020,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15
PW Borren,NED,2008-2017,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18
J Mees,LUX,2019-2023,33,32,4,638,85,22.78,534,119.47,0,3,3,63,19
D Ramdin,WI,2006-2019,71,50,16,636,55*,18.70,551,115.42,0,1,3,51,19
ST Jayasuriya,SL,2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
KS Leverock,BMUDA,2019-2023,24,24,4,629,103,31.45,430,146.27,1,2,4,55,34
G Mckeon,Fran,2022-2023,11,11,1,629,109,62.90,390,161.28,2,4,1,55,33
Haider Butt,BHR,2021-2023,37,34,7,627,62,23.22,558,112.36,0,1,2,34,25
Khawar Ali,OMA,2015-2022,41,35,3,626,72*,19.56,635,98.58,0,2,2,67,15
Sohail Ahmed,BHR,2022-2023,18,18,6,625,80*,52.08,484,129.13,0,6,1,43,27
MR Swart,NED,2012-2016,26,25,2,621,89,27.00,537,115.64,0,4,1,53,16
Gulbadin Naib,AFG,2012-2023,57,47,13,615,56*,18.08,517,118.95,0,1,5,45,27
K Waiswa,UGA,2020-2023,55,43,6,615,66*,16.62,555,110.81,0,1,6,60,16
SA Edwards,NED,2018-2022,51,44,15,614,42*,21.17,507,121.10,0,0,2,56,11
R Nehonde,BOT,2019-2023,34,31,5,614,63,23.61,631,97.30,0,2,1,48,12
MN Waller,ZIM,2011-2018,32,31,8,613,68,26.65,443,138.37,0,1,2,42,28
J Bulele,MOZ,2019-2022,27,27,2,612,62*,24.48,654,93.57,0,4,2,79,2
BFW de Leede,NED,2018-2022,31,28,8,610,91*,30.50,576,105.90,0,4,3,45,18
W Niyitanga,RWN,2021-2023,47,46,4,610,55*,14.52,683,89.31,0,2,5,38,20
Imran Anwar,BHR,2019-2023,43,33,5,605,87,21.60,463,130.66,0,3,3,39,41
NG Collins,Fin,2019-2023,24,24,1,604,79,26.26,612,98.69,0,4,0,52,8
NA Greenwood,JER,2019-2023,22,22,2,600,86*,30.00,416,144.23,0,2,2,70,15
Salman Butt,PAK,2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
PM Seelaar,NED,2008-2021,77,46,12,591,96*,17.38,532,111.09,0,1,1,43,12
Yasir Ali,ESP,2019-2022,27,26,6,590,80*,29.50,570,103.50,0,3,3,39,23
Ravinderpal Singh,CAN,2019-2022,29,24,3,589,101,28.04,400,147.25,1,1,1,43,31
J Butler,GUE,2019-2023,26,24,2,588,87,26.72,575,102.26,0,3,1,52,12
DJG Sammy,WI/World,2007-2017,68,52,18,587,42*,17.26,398,147.48,0,0,3,45,31
RN Patel,KENYA,2019-2023,34,32,6,586,63,22.53,484,121.07,0,1,4,62,12
BA Stokes,ENG,2011-2022,43,36,9,585,52*,21.66,457,128.00,0,1,1,42,22
HL Carlyon,JER,2019-2023,30,29,1,583,56,20.82,538,108.36,0,3,3,70,9
PD Collingwood,ENG/World,2005-2017,36,33,2,583,79,18.80,459,127.01,0,3,3,37,24
DR Smith,WI,2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31
MA Leask,SCOT,2013-2023,54,43,7,578,58,16.05,438,131.96,0,1,4,45,27
Saim Hussain,BUL,2022-2023,18,17,2,578,108*,38.53,394,146.70,1,4,1,51,26
SB Styris,NZ,2005-2010,31,29,2,578,66,21.40,483,119.66,0,1,0,40,25
VB Chikkannaiah,GER,2019-2023,27,27,2,575,81*,23.00,571,100.70,0,4,1,47,14
K Bhurtel,NEP,2021-2022,16,16,4,573,104*,47.75,443,129.34,1,5,0,58,21
JA Morkel,SA,2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39
MJ Santner,NZ,2015-2023,90,62,27,569,77*,16.25,458,124.23,0,1,5,43,18
Shadab Khan,PAK,2017-2023,92,43,13,569,52,18.96,413,137.77,0,1,3,38,28
SR Taylor,USA,2019-2022,19,16,3,568,101*,43.69,392,144.89,1,3,1,65,22
Najmul Hossain Shanto,BAN,2019-2023,25,25,4,566,71,26.95,508,111.41,0,3,0,52,7
JJ Smit,NAM,2019-2022,32,27,10,564,71,33.17,382,147.64,0,2,1,32,34
Basil George,MLT,2021-2023,25,25,1,563,93*,23.45,434,129.72,0,3,0,41,30
SA Ahmad,DEN,2019-2023,29,25,4,556,66,26.47,512,108.59,0,3,0,52,11
V Ganesan,GER,2019-2023,43,37,8,553,61*,19.06,524,105.53,0,2,0,56,1
MJ Lumb,ENG,2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21
KR Mayers,WI,2020-2023,29,28,1,550,73,20.37,401,137.15,0,3,0,57,33
TS Bharaj,DEN,2019-2023,26,25,2,548,63*,23.82,470,116.59,0,5,1,41,13
Asif Ali,PAK,2018-2022,55,49,13,544,41*,15.11,406,133.99,0,0,4,26,34
C Rubagumya,RWN,2021-2023,52,47,6,542,40,13.21,633,85.62,0,0,7,29,8
MR Adair,IRE,2019-2023,71,49,11,541,72,14.23,441,122.67,0,1,4,33,26
HS Gericke,MLT,2020-2022,21,20,0,541,91,27.05,330,163.93,0,4,0,46,22
